gene	ensembl_gene_id	gencode_id	whole_blood_median_tpm
ZNF137P	ENSG00000123870	ENSG00000123870.10	0.729955
RAB38	ENSG00000123892	ENSG00000123892.11	0.908405
GPR83	ENSG00000123901	ENSG00000123901.8	0.0550254
AGO2	ENSG00000123908	ENSG00000123908.11	9.03292
ACSL3	ENSG00000123983	ENSG00000123983.13	6.45522
DNPEP	ENSG00000123992	ENSG00000123992.18	9.08403
INHA	ENSG00000123999	ENSG00000123999.4	0.0378343
FAM124B	ENSG00000124019	ENSG00000124019.9	0.222641
SLC12A4	ENSG00000124067	ENSG00000124067.16	4.37146
GCNT7	ENSG00000124091	ENSG00000124091.9	0.376781
FAM210B	ENSG00000124098	ENSG00000124098.9	71.7059
PI3	ENSG00000124102	ENSG00000124102.4	93.0533
FAM209A	ENSG00000124103	ENSG00000124103.8	3.94581
SNX21	ENSG00000124104	ENSG00000124104.18	4.02629
SLPI	ENSG00000124107	ENSG00000124107.5	120.785
WFDC3	ENSG00000124116	ENSG00000124116.18	0.0619641
PREX1	ENSG00000124126	ENSG00000124126.13	146.432
KCNS1	ENSG00000124134	ENSG00000124134.8	0.0841705
SDC4	ENSG00000124145	ENSG00000124145.6	2.63992
NCOA3	ENSG00000124151	ENSG00000124151.18	9.9447
PIGT	ENSG00000124155	ENSG00000124155.17	8.86496
VAPB	ENSG00000124164	ENSG00000124164.15	3.3828
CHD6	ENSG00000124177	ENSG00000124177.14	1.32652
PLCG1	ENSG00000124181	ENSG00000124181.14	8.22018
TOX2	ENSG00000124191	ENSG00000124191.17	0.70224
GTSF1L	ENSG00000124196	ENSG00000124196.5	0.0812765
ARFGEF2	ENSG00000124198	ENSG00000124198.8	1.71858
ZNFX1	ENSG00000124201	ENSG00000124201.14	21.9073
ZNF831	ENSG00000124203	ENSG00000124203.6	1.23306
EDN3	ENSG00000124205	ENSG00000124205.15	0.0713603
CSE1L	ENSG00000124207	ENSG00000124207.16	7.05082
RAB22A	ENSG00000124209	ENSG00000124209.3	2.70914
PTGIS	ENSG00000124212	ENSG00000124212.5	0.112761
STAU1	ENSG00000124214	ENSG00000124214.19	24.3676
CDH26	ENSG00000124215	ENSG00000124215.16	0.835761
STX16	ENSG00000124222	ENSG00000124222.22	55.063
PPP4R1L	ENSG00000124224	ENSG00000124224.16	5.63274
PMEPA1	ENSG00000124225	ENSG00000124225.15	0.517503
RNF114	ENSG00000124226	ENSG00000124226.10	27.0275
DDX27	ENSG00000124228	ENSG00000124228.14	15.9676
SEMG1	ENSG00000124233	ENSG00000124233.11	0.135123
BCAS4	ENSG00000124243	ENSG00000124243.17	1.139
TP53TG5	ENSG00000124251	ENSG00000124251.10	0.1283
ZBP1	ENSG00000124256	ENSG00000124256.14	14.8671
MTRR	ENSG00000124275	ENSG00000124275.14	3.61237
FASTKD3	ENSG00000124279	ENSG00000124279.11	1.51275
PEPD	ENSG00000124299	ENSG00000124299.13	17.3578
CHST8	ENSG00000124302	ENSG00000124302.12	0.122746
IQSEC2	ENSG00000124313	ENSG00000124313.13	0.927815
XG	ENSG00000124343	ENSG00000124343.12	0.0990782
STAMBP	ENSG00000124356	ENSG00000124356.15	4.62411
NAGK	ENSG00000124357	ENSG00000124357.12	48.6903
MCEE	ENSG00000124370	ENSG00000124370.10	1.68367
PAIP2B	ENSG00000124374	ENSG00000124374.8	0.361316
SNRNP27	ENSG00000124380	ENSG00000124380.10	7.52761
MPHOSPH10	ENSG00000124383	ENSG00000124383.8	2.88104
IL17C	ENSG00000124391	ENSG00000124391.4	0.209884
ATP8A1	ENSG00000124406	ENSG00000124406.16	3.00888
USP22	ENSG00000124422	ENSG00000124422.11	15.2527
HIF3A	ENSG00000124440	ENSG00000124440.15	0.0772966
ZNF45	ENSG00000124459	ENSG00000124459.11	1.12535
LYPD3	ENSG00000124466	ENSG00000124466.8	0.956949
CEACAM8	ENSG00000124469	ENSG00000124469.11	13.6464
USP9X	ENSG00000124486	ENSG00000124486.12	12.1344
CRISP2	ENSG00000124490	ENSG00000124490.13	0.713384
F13A1	ENSG00000124491	ENSG00000124491.15	22.0687
TRERF1	ENSG00000124496	ENSG00000124496.12	4.59087
PACSIN1	ENSG00000124507	ENSG00000124507.10	0.262089
BTN2A2	ENSG00000124508	ENSG00000124508.16	2.73354
SIRT5	ENSG00000124523	ENSG00000124523.15	3.33654
MRS2	ENSG00000124532	ENSG00000124532.14	2.35563
WRNIP1	ENSG00000124535	ENSG00000124535.15	6.51013
BTN2A3P	ENSG00000124549	ENSG00000124549.14	0.412118
SNRPC	ENSG00000124562	ENSG00000124562.9	24.768
SERPINB6	ENSG00000124570	ENSG00000124570.17	20.0044
XPO5	ENSG00000124571	ENSG00000124571.17	3.2496
ABCC10	ENSG00000124574	ENSG00000124574.14	4.46039
PEX6	ENSG00000124587	ENSG00000124587.13	11.843
NQO2	ENSG00000124588	ENSG00000124588.19	17.8773
OARD1	ENSG00000124596	ENSG00000124596.16	2.90008
UNC5CL	ENSG00000124602	ENSG00000124602.9	2.01145
AARS2	ENSG00000124608	ENSG00000124608.4	2.29397
ZNF391	ENSG00000124613	ENSG00000124613.8	0.117168
RPS10	ENSG00000124614	ENSG00000124614.13	234.703
MOCS1	ENSG00000124615	ENSG00000124615.17	0.247597
HIST1H2BJ	ENSG00000124635	ENSG00000124635.8	11.0701
SPDEF	ENSG00000124664	ENSG00000124664.10	0.0885892
APOBEC2	ENSG00000124701	ENSG00000124701.5	0.447246
GNMT	ENSG00000124713	ENSG00000124713.5	3.63226
TREM1	ENSG00000124731	ENSG00000124731.12	121.916
MEA1	ENSG00000124733	ENSG00000124733.3	38.9139
CDKN1A	ENSG00000124762	ENSG00000124762.13	23.1257
GLO1	ENSG00000124767	ENSG00000124767.6	12.5561
CPNE5	ENSG00000124772	ENSG00000124772.11	7.96446
KCNK17	ENSG00000124780	ENSG00000124780.13	0.047897
RREB1	ENSG00000124782	ENSG00000124782.19	3.53594
SSR1	ENSG00000124783	ENSG00000124783.12	11.0078
RIOK1	ENSG00000124784	ENSG00000124784.8	4.6341
NRN1	ENSG00000124785	ENSG00000124785.8	0.700007
SLC35B3	ENSG00000124786	ENSG00000124786.9	4.80104
ATXN1	ENSG00000124788	ENSG00000124788.17	6.51308
NUP153	ENSG00000124789	ENSG00000124789.11	11.426
DEK	ENSG00000124795	ENSG00000124795.14	14.8838
EEF1E1	ENSG00000124802	ENSG00000124802.11	0.978884
RUNX2	ENSG00000124813	ENSG00000124813.20	2.64128
LRRFIP1	ENSG00000124831	ENSG00000124831.18	29.6233
RAB17	ENSG00000124839	ENSG00000124839.12	0.157199
CXCL6	ENSG00000124875	ENSG00000124875.9	0.218481
EREG	ENSG00000124882	ENSG00000124882.3	0.773205
MYRF	ENSG00000124920	ENSG00000124920.13	0.341331
AHNAK	ENSG00000124942	ENSG00000124942.13	15.425
EMC3	ENSG00000125037	ENSG00000125037.12	43.9776
SH3TC1	ENSG00000125089	ENSG00000125089.16	14.3933
CNOT1	ENSG00000125107	ENSG00000125107.17	17.0013
LRRC29	ENSG00000125122	ENSG00000125122.15	2.24407
BBS2	ENSG00000125124	ENSG00000125124.11	3.62189
MT2A	ENSG00000125148	ENSG00000125148.6	31.7472
C16orf70	ENSG00000125149	ENSG00000125149.11	10.7855
GOT2	ENSG00000125166	ENSG00000125166.12	11.7647
DOK4	ENSG00000125170	ENSG00000125170.10	1.16972
GPR18	ENSG00000125245	ENSG00000125245.12	3.13785
CLYBL	ENSG00000125246	ENSG00000125246.15	0.392245
TMTC4	ENSG00000125247	ENSG00000125247.15	0.756702
RAP2A	ENSG00000125249	ENSG00000125249.6	1.96204
ABCC4	ENSG00000125257	ENSG00000125257.13	1.10238
EFNB2	ENSG00000125266	ENSG00000125266.6	0.11908
TM9SF2	ENSG00000125304	ENSG00000125304.8	43.2255
IRF1	ENSG00000125347	ENSG00000125347.13	91.5854
UPF3B	ENSG00000125351	ENSG00000125351.11	2.63686
RNF113A	ENSG00000125352	ENSG00000125352.5	25.5871
SEPT6	ENSG00000125354	ENSG00000125354.22	30.25
TMEM255A	ENSG00000125355	ENSG00000125355.15	0.0840554
PTGER2	ENSG00000125384	ENSG00000125384.6	24.6543
FAM193A	ENSG00000125386	ENSG00000125386.15	7.51099
GRK4	ENSG00000125388	ENSG00000125388.19	0.236315
TEKT3	ENSG00000125409	ENSG00000125409.12	0.0346083
HS3ST3B1	ENSG00000125430	ENSG00000125430.8	3.22807
SLC25A35	ENSG00000125434	ENSG00000125434.10	2.30641
MRPS7	ENSG00000125445	ENSG00000125445.10	8.4857
GGA3	ENSG00000125447	ENSG00000125447.16	27.8304
ARMC7	ENSG00000125449	ENSG00000125449.6	11.5208
NUP85	ENSG00000125450	ENSG00000125450.10	8.20142
SLC25A19	ENSG00000125454	ENSG00000125454.11	3.8819
MIF4GD	ENSG00000125457	ENSG00000125457.13	20.0431
NT5C	ENSG00000125458	ENSG00000125458.6	25.3589
C1orf61	ENSG00000125462	ENSG00000125462.16	0.0678401
TTF1	ENSG00000125482	ENSG00000125482.12	3.41726
DDX31	ENSG00000125485	ENSG00000125485.17	1.11367
KIR2DL1	ENSG00000125498	ENSG00000125498.19	4.69379
PPP1R12C	ENSG00000125503	ENSG00000125503.12	63.3628
MBOAT7	ENSG00000125505	ENSG00000125505.16	246.615
OPRL1	ENSG00000125510	ENSG00000125510.15	9.06415
FNDC11	ENSG00000125531	ENSG00000125531.6	0.276867
PPDPF	ENSG00000125534	ENSG00000125534.9	174.218
CHCHD5	ENSG00000125611	ENSG00000125611.15	3.63641
PAX8	ENSG00000125618	ENSG00000125618.16	0.377545
INSIG2	ENSG00000125629	ENSG00000125629.14	4.21561
POLR1B	ENSG00000125630	ENSG00000125630.15	1.20943
HTR5BP	ENSG00000125631	ENSG00000125631.7	0.0587977
CCDC93	ENSG00000125633	ENSG00000125633.10	9.59827
PSD4	ENSG00000125637	ENSG00000125637.15	34.2381
SLC25A23	ENSG00000125648	ENSG00000125648.14	1.87619
PSPN	ENSG00000125650	ENSG00000125650.4	0.628122
GTF2F1	ENSG00000125651	ENSG00000125651.13	28.6758
ALKBH7	ENSG00000125652	ENSG00000125652.7	29.7161
CLPP	ENSG00000125656	ENSG00000125656.8	34.3374
TNFSF9	ENSG00000125657	ENSG00000125657.4	0.913719
THOC2	ENSG00000125676	ENSG00000125676.19	3.33532
MED1	ENSG00000125686	ENSG00000125686.11	2.99922
ATG4C	ENSG00000125703	ENSG00000125703.14	1.8656
CD70	ENSG00000125726	ENSG00000125726.10	0.908977
C3	ENSG00000125730	ENSG00000125730.16	0.931508
SH2D3A	ENSG00000125731	ENSG00000125731.12	4.94893
TRIP10	ENSG00000125733	ENSG00000125733.17	2.20133
GPR108	ENSG00000125734	ENSG00000125734.15	75.0305
TNFSF14	ENSG00000125735	ENSG00000125735.10	21.6279
FOSB	ENSG00000125740	ENSG00000125740.13	0.897681
OPA3	ENSG00000125741	ENSG00000125741.4	1.87117
SNRPD2	ENSG00000125743	ENSG00000125743.10	27.8042
RTN2	ENSG00000125744	ENSG00000125744.11	5.69432
EML2	ENSG00000125746	ENSG00000125746.16	8.09708
VASP	ENSG00000125753	ENSG00000125753.13	415.551
SYMPK	ENSG00000125755	ENSG00000125755.18	11.9766
GPCPD1	ENSG00000125772	ENSG00000125772.12	50.8051
SDCBP2	ENSG00000125775	ENSG00000125775.14	2.18689
PANK2	ENSG00000125779	ENSG00000125779.21	7.78839
TGM3	ENSG00000125780	ENSG00000125780.11	1.92475
CD93	ENSG00000125810	ENSG00000125810.9	35.3141
GZF1	ENSG00000125812	ENSG00000125812.15	5.75059
NAPB	ENSG00000125814	ENSG00000125814.17	2.56556
CENPB	ENSG00000125817	ENSG00000125817.7	19.8126
PSMF1	ENSG00000125818	ENSG00000125818.17	41.9566
DTD1	ENSG00000125821	ENSG00000125821.11	4.80835
RBCK1	ENSG00000125826	ENSG00000125826.20	63.5861
TMX4	ENSG00000125827	ENSG00000125827.8	20.4077
STK35	ENSG00000125834	ENSG00000125834.12	7.30139
SNRPB	ENSG00000125835	ENSG00000125835.18	113.449
AP5S1	ENSG00000125843	ENSG00000125843.10	1.58603
RRBP1	ENSG00000125844	ENSG00000125844.15	19.2969
BMP2	ENSG00000125845	ENSG00000125845.6	0.106602
MKKS	ENSG00000125863	ENSG00000125863.18	2.50878
BFSP1	ENSG00000125864	ENSG00000125864.13	0.197831
DSTN	ENSG00000125868	ENSG00000125868.15	10.828
LAMP5	ENSG00000125869	ENSG00000125869.9	0.489681
SNRPB2	ENSG00000125870	ENSG00000125870.10	9.3206
MGME1	ENSG00000125871	ENSG00000125871.13	7.7058
TBC1D20	ENSG00000125875	ENSG00000125875.13	11.171
ITPA	ENSG00000125877	ENSG00000125877.12	15.1673
MCM8	ENSG00000125885	ENSG00000125885.13	0.772624
FAM110A	ENSG00000125898	ENSG00000125898.12	19.2881
SIRPD	ENSG00000125900	ENSG00000125900.12	3.25918
MRPS26	ENSG00000125901	ENSG00000125901.5	12.0094
S1PR4	ENSG00000125910	ENSG00000125910.5	252.82
NCLN	ENSG00000125912	ENSG00000125912.10	36.9323
MAX	ENSG00000125952	ENSG00000125952.18	56.7688
MMP24	ENSG00000125966	ENSG00000125966.9	0.289736
RALY	ENSG00000125970	ENSG00000125970.11	48.6836
EIF2S2	ENSG00000125977	ENSG00000125977.6	23.2387
CEP250	ENSG00000126001	ENSG00000126001.15	3.33345
MMP24-AS1	ENSG00000126005	ENSG00000126005.16	12.2064
KDM5C	ENSG00000126012	ENSG00000126012.11	24.8109
AMOT	ENSG00000126016	ENSG00000126016.15	0.132586
PSMB2	ENSG00000126067	ENSG00000126067.11	13.278
AGO3	ENSG00000126070	ENSG00000126070.19	1.06778
UROD	ENSG00000126088	ENSG00000126088.13	19.3972
ST3GAL3	ENSG00000126091	ENSG00000126091.19	1.77168
TMEM53	ENSG00000126106	ENSG00000126106.13	1.28979
HECTD3	ENSG00000126107	ENSG00000126107.14	12.3806
KLC1	ENSG00000126214	ENSG00000126214.21	7.44373
XRCC3	ENSG00000126215	ENSG00000126215.13	16.4598
TUBGCP3	ENSG00000126216	ENSG00000126216.13	6.84475
MCF2L	ENSG00000126217	ENSG00000126217.20	0.128249
PCID2	ENSG00000126226	ENSG00000126226.21	3.97236
PROZ	ENSG00000126231	ENSG00000126231.13	0.158477
LRFN3	ENSG00000126243	ENSG00000126243.8	0.874123
IGFLR1	ENSG00000126246	ENSG00000126246.9	52.0163
CAPNS1	ENSG00000126247	ENSG00000126247.10	172.614
GPR42	ENSG00000126251	ENSG00000126251.6	0.327527
RBM42	ENSG00000126254	ENSG00000126254.11	54.8073
UBA2	ENSG00000126261	ENSG00000126261.12	7.05846
FFAR2	ENSG00000126262	ENSG00000126262.4	200.497
HCST	ENSG00000126264	ENSG00000126264.9	98.9791
FFAR1	ENSG00000126266	ENSG00000126266.3	0.0458224
COX6B1	ENSG00000126267	ENSG00000126267.8	155.465
THRA	ENSG00000126351	ENSG00000126351.12	4.51433
NR1D1	ENSG00000126368	ENSG00000126368.5	3.76688
PRDX5	ENSG00000126432	ENSG00000126432.13	234.58
PRMT1	ENSG00000126457	ENSG00000126457.21	16.0931
PRR12	ENSG00000126464	ENSG00000126464.13	3.52176
TSKS	ENSG00000126467	ENSG00000126467.10	0.277261
ASL	ENSG00000126522	ENSG00000126522.16	17.1037
STAT5A	ENSG00000126561	ENSG00000126561.16	37.1653
BECN1	ENSG00000126581	ENSG00000126581.12	25.6958
PRKCG	ENSG00000126583	ENSG00000126583.10	0.0855516
TRAP1	ENSG00000126602	ENSG00000126602.10	5.44287
GLIS2	ENSG00000126603	ENSG00000126603.8	0.652354
NSRP1	ENSG00000126653	ENSG00000126653.17	3.53024
DNAJC8	ENSG00000126698	ENSG00000126698.10	19.6484
ZNF384	ENSG00000126746	ENSG00000126746.17	11.4415
CFP	ENSG00000126759	ENSG00000126759.13	232.105
PCNX4	ENSG00000126773	ENSG00000126773.12	1.03675
ATG14	ENSG00000126775	ENSG00000126775.8	4.4608
KTN1	ENSG00000126777	ENSG00000126777.17	5.32873
RHOJ	ENSG00000126785	ENSG00000126785.12	0.0550142
DLGAP5	ENSG00000126787	ENSG00000126787.12	0.808245
L3HYPDH	ENSG00000126790	ENSG00000126790.11	1.16839
PLEKHG3	ENSG00000126822	ENSG00000126822.16	18.6663
PZP	ENSG00000126838	ENSG00000126838.9	0.0411472
RHOT1	ENSG00000126858	ENSG00000126858.16	9.24155
EVI2A	ENSG00000126860	ENSG00000126860.11	42.1999
OMG	ENSG00000126861	ENSG00000126861.4	1.56697
WDR60	ENSG00000126870	ENSG00000126870.15	1.07822
AIF1L	ENSG00000126878	ENSG00000126878.12	0.241106
NUP214	ENSG00000126883	ENSG00000126883.16	19.0463
SLC10A3	ENSG00000126903	ENSG00000126903.15	25.2041
MAP2K2	ENSG00000126934	ENSG00000126934.13	96.4023
CANX	ENSG00000127022	ENSG00000127022.14	37.243
INTS11	ENSG00000127054	ENSG00000127054.20	21.2667
FGD3	ENSG00000127084	ENSG00000127084.17	160.597
HIVEP3	ENSG00000127124	ENSG00000127124.14	0.538705
BCL11B	ENSG00000127152	ENSG00000127152.17	2.7884
TRAF2	ENSG00000127191	ENSG00000127191.17	5.47518
ABHD8	ENSG00000127220	ENSG00000127220.5	8.07819
ATP13A4	ENSG00000127249	ENSG00000127249.14	0.0645155
HRASLS	ENSG00000127252	ENSG00000127252.5	0.27641
HELB	ENSG00000127311	ENSG00000127311.9	1.74209
RAP1B	ENSG00000127314	ENSG00000127314.17	4.3722
TSPAN8	ENSG00000127324	ENSG00000127324.8	0.0435714
RAB3IP	ENSG00000127328	ENSG00000127328.21	0.927145
PTPRB	ENSG00000127329	ENSG00000127329.15	0.0539598
YEATS4	ENSG00000127337	ENSG00000127337.6	2.7778
TAS2R4	ENSG00000127364	ENSG00000127364.3	0.0834559
TAS2R5	ENSG00000127366	ENSG00000127366.5	0.179448
LRRC61	ENSG00000127399	ENSG00000127399.14	4.84518
TRPV5	ENSG00000127412	ENSG00000127412.6	0.114483
IDUA	ENSG00000127415	ENSG00000127415.12	5.08989
FGFRL1	ENSG00000127418	ENSG00000127418.14	2.09546
TMEM175	ENSG00000127419	ENSG00000127419.16	30.96
FBXL12	ENSG00000127452	ENSG00000127452.8	4.74418
EMC1	ENSG00000127463	ENSG00000127463.13	1.71273
UBR4	ENSG00000127481	ENSG00000127481.14	10.8001
HP1BP3	ENSG00000127483	ENSG00000127483.17	16.6079
ADGRE2	ENSG00000127507	ENSG00000127507.17	38.7613
SIN3B	ENSG00000127511	ENSG00000127511.9	9.48245
SLC35E1	ENSG00000127526	ENSG00000127526.14	6.53975
EPS15L1	ENSG00000127527	ENSG00000127527.13	15.041
KLF2	ENSG00000127528	ENSG00000127528.5	198.15
F2RL3	ENSG00000127533	ENSG00000127533.3	0.420673
UQCR11	ENSG00000127540	ENSG00000127540.11	31.055
GFER	ENSG00000127554	ENSG00000127554.12	4.79801
SYNGR3	ENSG00000127561	ENSG00000127561.14	0.394892
PKMYT1	ENSG00000127564	ENSG00000127564.16	1.5071
WFIKKN1	ENSG00000127578	ENSG00000127578.6	0.684451
WDR24	ENSG00000127580	ENSG00000127580.15	4.54648
CHTF18	ENSG00000127586	ENSG00000127586.16	3.8929
MACF1	ENSG00000127603	ENSG00000127603.23	4.27935
SMARCA4	ENSG00000127616	ENSG00000127616.17	8.6948
KDM4B	ENSG00000127663	ENSG00000127663.14	14.9087
TICAM1	ENSG00000127666	ENSG00000127666.9	13.4731
METTL25	ENSG00000127720	ENSG00000127720.7	1.65844
EMC6	ENSG00000127774	ENSG00000127774.6	17.4355
METTL16	ENSG00000127804	ENSG00000127804.12	1.41821
TUBA4A	ENSG00000127824	ENSG00000127824.13	239.898
VIL1	ENSG00000127831	ENSG00000127831.10	0.363824
PNKD	ENSG00000127838	ENSG00000127838.13	13.9146
TNFRSF19	ENSG00000127863	ENSG00000127863.15	0.0419422
RNF6	ENSG00000127870	ENSG00000127870.16	3.72922
ECHS1	ENSG00000127884	ENSG00000127884.4	25.142
ZNF835	ENSG00000127903	ENSG00000127903.13	0.137337
AKAP9	ENSG00000127914	ENSG00000127914.16	1.7045
GNG11	ENSG00000127920	ENSG00000127920.5	5.17934
SEM1	ENSG00000127922	ENSG00000127922.9	0.879253
HIP1	ENSG00000127946	ENSG00000127946.16	16.5537
PTPN12	ENSG00000127947	ENSG00000127947.15	29.7722
POR	ENSG00000127948	ENSG00000127948.15	62.3571
FGL2	ENSG00000127951	ENSG00000127951.6	36.8856
STYXL1	ENSG00000127952	ENSG00000127952.16	15.7889
STEAP4	ENSG00000127954	ENSG00000127954.12	11.8523
GNAI1	ENSG00000127955	ENSG00000127955.15	0.138527
PMS2P3	ENSG00000127957	ENSG00000127957.17	2.89148
MTERF1	ENSG00000127989	ENSG00000127989.13	0.732201
SGCE	ENSG00000127990	ENSG00000127990.15	0.209308
RBM48	ENSG00000127993	ENSG00000127993.15	3.14935
CASD1	ENSG00000127995	ENSG00000127995.16	1.4262
ZNF780B	ENSG00000128000	ENSG00000128000.15	0.881779
LRFN1	ENSG00000128011	ENSG00000128011.4	25.396
SRD5A3	ENSG00000128039	ENSG00000128039.10	1.58319
SPINK2	ENSG00000128040	ENSG00000128040.10	0.277581
KDR	ENSG00000128052	ENSG00000128052.8	0.0467956
PPAT	ENSG00000128059	ENSG00000128059.8	0.574832
TUBGCP6	ENSG00000128159	ENSG00000128159.11	19.9364
ADM2	ENSG00000128165	ENSG00000128165.8	0.578859
DGCR6L	ENSG00000128185	ENSG00000128185.9	21.5756
DGCR8	ENSG00000128191	ENSG00000128191.15	3.62662
ASPHD2	ENSG00000128203	ENSG00000128203.6	1.85608
VPREB3	ENSG00000128218	ENSG00000128218.7	5.89665
GAL3ST1	ENSG00000128242	ENSG00000128242.12	0.0447531
YWHAH	ENSG00000128245	ENSG00000128245.14	52.9958
RFPL2	ENSG00000128253	ENSG00000128253.13	0.133269
C22orf24	ENSG00000128254	ENSG00000128254.12	0.196933
GNAZ	ENSG00000128266	ENSG00000128266.8	1.59818
MGAT3	ENSG00000128268	ENSG00000128268.11	0.449519
ADORA2A	ENSG00000128271	ENSG00000128271.21	24.2612
ATF4	ENSG00000128272	ENSG00000128272.14	109.548
A4GALT	ENSG00000128274	ENSG00000128274.15	0.397797
CDC42EP1	ENSG00000128283	ENSG00000128283.6	1.77723
APOL3	ENSG00000128284	ENSG00000128284.19	7.833
MCHR1	ENSG00000128285	ENSG00000128285.4	0.042539
TPST2	ENSG00000128294	ENSG00000128294.15	34.4922
BAIAP2L2	ENSG00000128298	ENSG00000128298.16	0.563858
MPST	ENSG00000128309	ENSG00000128309.16	18.4826
TST	ENSG00000128311	ENSG00000128311.13	11.6541
IGLL1	ENSG00000128322	ENSG00000128322.6	0.391362
APOL2	ENSG00000128335	ENSG00000128335.13	31.0212
RAC2	ENSG00000128340	ENSG00000128340.14	960.395
LIF	ENSG00000128342	ENSG00000128342.4	0.829033
APOBEC3A	ENSG00000128383	ENSG00000128383.12	196.094
APOBEC3F	ENSG00000128394	ENSG00000128394.16	2.12606
RIBC2	ENSG00000128408	ENSG00000128408.8	0.0877578
TBC1D27	ENSG00000128438	ENSG00000128438.10	0.453003
EMC4	ENSG00000128463	ENSG00000128463.12	20.3829
RNF112	ENSG00000128482	ENSG00000128482.15	0.53966
SPECC1	ENSG00000128487	ENSG00000128487.16	1.94629
DOCK4	ENSG00000128512	ENSG00000128512.20	1.4716
POT1	ENSG00000128513	ENSG00000128513.14	2.05544
LSM8	ENSG00000128534	ENSG00000128534.7	2.12737
CDHR3	ENSG00000128536	ENSG00000128536.15	0.125239
PRKRIP1	ENSG00000128563	ENSG00000128563.13	11.2504
PODXL	ENSG00000128567	ENSG00000128567.16	0.310809
MKLN1	ENSG00000128585	ENSG00000128585.17	4.99372
LRRC4	ENSG00000128594	ENSG00000128594.7	9.91557
CALU	ENSG00000128595	ENSG00000128595.16	5.22061
CCDC136	ENSG00000128596	ENSG00000128596.16	0.383112
SMO	ENSG00000128602	ENSG00000128602.9	0.0992433
IRF5	ENSG00000128604	ENSG00000128604.19	18.5811
KLHDC10	ENSG00000128607	ENSG00000128607.13	4.23728
NDUFA5	ENSG00000128609	ENSG00000128609.14	0.935763
MYO1B	ENSG00000128641	ENSG00000128641.18	0.229048
MTX2	ENSG00000128654	ENSG00000128654.13	2.10254
CHN1	ENSG00000128656	ENSG00000128656.13	0.307035
GAD1	ENSG00000128683	ENSG00000128683.13	0.040654
OSGEPL1	ENSG00000128694	ENSG00000128694.11	0.961766
ORMDL1	ENSG00000128699	ENSG00000128699.13	9.0579
HAT1	ENSG00000128708	ENSG00000128708.12	6.47327
HERC2	ENSG00000128731	ENSG00000128731.15	1.22325
SNRPN	ENSG00000128739	ENSG00000128739.21	9.30472
PSMG2	ENSG00000128789	ENSG00000128789.20	13.7387
ARHGAP22	ENSG00000128805	ENSG00000128805.14	0.348443
WDFY4	ENSG00000128815	ENSG00000128815.19	6.96706
EIF2AK4	ENSG00000128829	ENSG00000128829.11	1.9664
TMOD2	ENSG00000128872	ENSG00000128872.9	1.61474
TTBK2	ENSG00000128881	ENSG00000128881.16	1.02364
C15orf57	ENSG00000128891	ENSG00000128891.15	1.67115
INO80	ENSG00000128908	ENSG00000128908.15	4.17465
ICE2	ENSG00000128915	ENSG00000128915.11	1.10883
ALDH1A2	ENSG00000128918	ENSG00000128918.14	0.384245
MINDY2	ENSG00000128923	ENSG00000128923.10	1.56131
IVD	ENSG00000128928	ENSG00000128928.8	5.07613
KNSTRN	ENSG00000128944	ENSG00000128944.13	3.92507
DUT	ENSG00000128951	ENSG00000128951.13	8.18645
CLN6	ENSG00000128973	ENSG00000128973.12	10.8068
ARPP19	ENSG00000128989	ENSG00000128989.10	12.8171
VPS13C	ENSG00000129003	ENSG00000129003.15	2.3041
CALML4	ENSG00000129007	ENSG00000129007.14	5.84322
LOXL1	ENSG00000129038	ENSG00000129038.15	1.15634
ACKR4	ENSG00000129048	ENSG00000129048.6	0.0784099
ANAPC13	ENSG00000129055	ENSG00000129055.12	19.3742
MBD4	ENSG00000129071	ENSG00000129071.9	22.1072
COPB1	ENSG00000129083	ENSG00000129083.12	25.9432
PSMA1	ENSG00000129084	ENSG00000129084.17	35.6992
SUMF2	ENSG00000129103	ENSG00000129103.17	24.107
PALLD	ENSG00000129116	ENSG00000129116.17	0.69593
SERGEF	ENSG00000129158	ENSG00000129158.10	3.52328
CSRP3	ENSG00000129170	ENSG00000129170.8	0.141794
DCTD	ENSG00000129187	ENSG00000129187.14	8.45186
FAM64A	ENSG00000129195	ENSG00000129195.15	0.253524
USP6	ENSG00000129204	ENSG00000129204.16	0.0507085
PLD2	ENSG00000129219	ENSG00000129219.13	8.1602
TXNDC17	ENSG00000129235	ENSG00000129235.10	6.79897
ATP1B2	ENSG00000129244	ENSG00000129244.8	0.620777
FXR2	ENSG00000129245	ENSG00000129245.11	13.8181
KIF1C	ENSG00000129250	ENSG00000129250.11	6.54066
PHF20L1	ENSG00000129292	ENSG00000129292.20	7.91588
LRRC6	ENSG00000129295	ENSG00000129295.8	3.11683
CCNT1	ENSG00000129315	ENSG00000129315.10	5.00702
PUS7L	ENSG00000129317	ENSG00000129317.14	0.529467
KRI1	ENSG00000129347	ENSG00000129347.19	15.2785
SLC44A2	ENSG00000129353	ENSG00000129353.14	147.941
AP1M2	ENSG00000129354	ENSG00000129354.11	0.549453
CDKN2D	ENSG00000129355	ENSG00000129355.6	217.24
MTUS1	ENSG00000129422	ENSG00000129422.14	0.153065
KLK14	ENSG00000129437	ENSG00000129437.9	0.220327
SIGLEC9	ENSG00000129450	ENSG00000129450.8	39.3227
